City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
68,Provideniya,64.3833,-173.3,25.93,93,100,15.52,RU,light snow
69,Batagay,67.6333,134.6333,5.32,98,92,0.89,RU,overcast clouds
70,Cidreira,-30.1811,-50.2056,63.0,80,100,13.56,BR,overcast clouds
71,Tual,-5.6667,132.75,82.53,79,30,3.71,ID,scattered clouds
72,Port Blair,11.6667,92.75,80.15,88,94,14.61,IN,overcast clouds
73,Kaitangata,-46.2817,169.8464,48.49,87,42,5.73,NZ,light rain
74,Marzuq,14.4,46.4667,78.93,25,17,2.15,YE,few clouds
75,Hobart,-42.8794,147.3294,47.05,81,72,4.0,AU,broken clouds
76,Bambous Virieux,-20.3428,57.7575,74.21,71,9,15.99,MU,clear sky
77,Tuatapere,-46.1333,167.6833,47.95,81,68,5.06,NZ,broken clouds
78,Vaini,-21.2,-175.2,75.47,79,100,21.16,TO,overcast clouds
79,Zhigansk,66.7697,123.3711,7.2,98,95,3.69,RU,overcast clouds
80,Xicotencatl,23.0167,-98.8833,79.72,69,100,23.67,MX,overcast clouds
81,Fortuna,40.5982,-124.1573,68.94,59,1,1.99,US,clear sky
82,Broome,42.2506,-75.833,64.0,96,90,9.22,US,light rain
83,Havoysund,70.9963,24.6622,38.28,76,100,25.97,NO,light rain
84,Qaanaaq,77.484,-69.3632,20.26,85,100,10.27,GL,overcast clouds
85,Nome,64.5011,-165.4064,27.16,80,75,12.66,US,light snow
86,Souillac,-20.5167,57.5167,74.35,72,8,14.67,MU,clear sky
87,Busselton,-33.65,115.3333,59.09,71,100,5.68,AU,overcast clouds
88,Butaritari,3.0707,172.7902,81.45,69,77,16.24,KI,broken clouds
89,Nivala,63.9167,24.9667,35.69,97,100,14.45,FI,overcast clouds
90,Troitsko-Pechorsk,62.7084,56.1964,39.34,86,100,9.42,RU,overcast clouds
91,Codrington,-38.2667,141.9667,49.91,87,100,6.69,AU,overcast clouds
92,Guozhen,34.3659,107.359,50.77,83,68,2.35,CN,broken clouds
93,East London,-33.0153,27.9116,59.54,63,4,22.68,ZA,clear sky
94,Cukai,4.25,103.4167,78.48,88,100,3.8,MY,overcast clouds
95,Lompoc,34.6391,-120.4579,89.69,12,0,1.99,US,clear sky
96,Dubbo,-32.25,148.6167,41.13,93,0,0.0,AU,mist
97,Cairns,-16.9167,145.7667,74.07,80,75,4.61,AU,broken clouds
98,Ullapool,57.8987,-5.1604,46.76,81,100,3.62,GB,overcast clouds
99,Kumluca,36.3703,30.2869,68.25,73,19,10.49,TR,few clouds
100,Colesberg,-30.72,25.0972,51.73,20,88,16.64,ZA,overcast clouds
101,Pevek,69.7008,170.3133,6.85,88,95,3.38,RU,overcast clouds
102,Faanui,-16.4833,-151.75,80.04,71,99,22.82,PF,overcast clouds
103,Parabel,58.6978,81.4825,36.82,91,5,5.75,RU,clear sky
104,Cabo San Lucas,22.8909,-109.9124,90.61,64,38,3.56,MX,scattered clouds
105,Aksha,50.2814,113.2867,29.59,57,47,6.51,RU,scattered clouds
106,Kostyantynivka,48.5277,37.7069,54.88,58,100,5.97,UA,overcast clouds
107,Bandraboua,-12.7044,45.1223,78.48,71,0,12.33,YT,clear sky
108,Avarua,-21.2078,-159.775,78.85,78,40,13.8,CK,scattered clouds
109,Jackson,42.4165,-122.8345,54.55,30,57,1.1,US,broken clouds
110,Ribeira Grande,38.5167,-28.7,73.8,94,75,24.16,PT,broken clouds
111,Grindavik,63.8424,-22.4338,37.87,87,75,12.66,IS,light intensity drizzle
112,Inuvik,68.3499,-133.7218,23.76,93,90,3.44,CA,mist
113,Altay,47.8667,88.1167,38.86,41,0,10.09,CN,clear sky
114,Toora-Khem,52.4675,96.11,23.59,67,5,1.23,RU,clear sky
115,Salinopolis,-0.6136,-47.3561,84.45,70,95,11.9,BR,overcast clouds
116,Tiksi,71.6872,128.8694,6.01,94,87,5.88,RU,overcast clouds
117,Saskylakh,71.9167,114.0833,2.73,98,98,6.51,RU,overcast clouds
118,Tasiilaq,65.6145,-37.6368,32.16,69,99,6.26,GL,overcast clouds
119,Namibe,-15.1961,12.1522,64.29,86,18,5.64,AO,few clouds
120,Aksu,41.1231,80.2644,51.39,22,11,2.64,CN,few clouds
121,Ontario,34.0633,-117.6509,88.29,12,1,1.01,US,clear sky
122,Cravo Norte,6.3017,-70.2041,86.63,66,100,7.54,CO,heavy intensity rain
123,Chifeng,42.2683,118.9636,28.69,29,0,8.63,CN,clear sky
124,Gustavo Diaz Ordaz,26.2333,-98.5833,75.88,46,100,1.99,MX,overcast clouds
125,Saint Anthony,45.0205,-93.218,63.14,40,0,4.0,US,clear sky
126,Brigantine,39.4101,-74.3646,83.32,80,1,21.5,US,clear sky
127,Susangerd,31.5608,48.1831,95.02,16,0,12.84,IR,clear sky
128,Bideford,51.0179,-4.2046,58.77,94,100,9.8,GB,overcast clouds
129,Gigmoto,13.7796,124.39,78.94,87,21,3.24,PH,few clouds
130,Barrow,71.2906,-156.7887,21.22,79,90,13.8,US,light snow
131,Khani,41.9563,42.9566,49.57,80,6,3.8,GE,clear sky
132,Bengkulu,-3.8004,102.2655,77.25,87,100,3.4,ID,overcast clouds
133,Tagab,34.855,69.6492,64.02,27,0,4.47,AF,clear sky
134,Nemuro,43.3236,145.575,54.48,92,100,11.5,JP,overcast clouds
135,Aklavik,68.2191,-135.0107,23.72,87,98,2.06,CA,overcast clouds
136,La Ronge,55.1001,-105.2842,49.62,57,4,9.98,CA,clear sky
137,Shache,38.4167,77.2406,50.07,15,0,1.66,CN,clear sky
138,Ust-Kuyga,70.0167,135.6,-9.17,100,92,2.42,RU,overcast clouds
139,Westport,41.1415,-73.3579,77.76,73,16,1.01,US,few clouds
140,Athens,37.9795,23.7162,68.18,68,42,1.01,GR,scattered clouds
141,Torbay,47.6666,-52.7314,47.28,96,100,5.01,CA,light rain
142,Marawi,7.9986,124.2928,67.64,95,71,1.7,PH,broken clouds
143,Kidal,18.4411,1.4078,90.16,9,6,9.73,ML,clear sky
144,Norman Wells,65.282,-126.8329,28.44,86,75,13.8,CA,light snow
145,Jian,27.1172,114.9793,55.94,84,100,15.57,CN,light rain
146,Puerto Ayora,-0.7393,-90.3518,72.55,86,98,8.99,EC,overcast clouds
147,Longyearbyen,78.2186,15.6401,17.53,75,31,8.9,SJ,scattered clouds
148,Ambon,-3.6954,128.1814,81.16,79,80,4.21,ID,broken clouds
149,Cherskiy,68.75,161.3,-14.21,100,67,3.04,RU,broken clouds
150,Narsaq,60.9167,-46.05,46.62,55,7,1.68,GL,clear sky
151,Tacoronte,28.4769,-16.4102,70.25,80,0,3.44,ES,clear sky
152,Shimoda,34.6667,138.95,70.11,87,68,15.68,JP,broken clouds
153,Kavieng,-2.5744,150.7967,84.78,64,100,13.42,PG,overcast clouds
154,New Norfolk,-42.7826,147.0587,46.89,72,93,1.01,AU,overcast clouds
155,Awbari,26.5921,12.7805,76.14,25,0,9.31,LY,clear sky
156,Nemours,48.2751,2.6908,55.69,62,6,5.82,FR,clear sky
157,Taoudenni,22.6783,-3.9836,94.69,12,94,7.38,ML,overcast clouds
158,Eyemouth,55.8713,-2.0901,47.23,90,100,6.93,GB,moderate rain
159,Elliot,-31.3333,27.85,44.26,46,33,1.07,ZA,scattered clouds
160,Shu,43.5983,73.7614,48.69,43,0,3.27,KZ,clear sky
161,Cape Town,-33.9258,18.4232,58.1,58,20,1.01,ZA,few clouds
162,Ambulu,-8.345,113.6058,77.47,87,97,1.16,ID,overcast clouds
163,Alta Floresta,-9.8756,-56.0861,93.02,46,20,5.75,BR,few clouds
164,Jizan,17.3333,42.6667,88.03,55,12,4.9,SA,few clouds
165,Samarai,-10.6167,150.6667,80.6,85,28,9.91,PG,scattered clouds
166,Saint George,37.1041,-113.5841,75.67,22,0,1.99,US,clear sky
167,Sibu,2.3,111.8167,75.67,98,100,1.79,MY,overcast clouds
168,Biak,-0.9131,122.8766,77.11,83,31,1.77,ID,scattered clouds
169,Derzhavinsk,51.1,66.3167,46.98,55,88,5.08,KZ,overcast clouds
170,Kedrovyy,56.1667,91.8167,23.41,71,18,2.21,RU,few clouds
171,Doctor Arroyo,23.6667,-100.1833,67.71,66,100,6.17,MX,overcast clouds
172,Glendive,47.1053,-104.7125,65.82,42,1,13.8,US,clear sky
173,Katherine,-14.4667,132.2667,82.72,61,16,5.75,AU,few clouds
174,Tongliao,43.6125,122.2653,26.02,37,0,7.4,CN,clear sky
175,Castro,-24.7911,-50.0119,73.63,68,95,1.52,BR,overcast clouds
176,Taveta,-3.3963,37.6736,72.86,65,55,10.71,KE,broken clouds
177,Caravelas,-17.7125,-39.2481,79.25,74,98,10.85,BR,overcast clouds
178,Centralia,46.7162,-122.9543,68.29,71,90,10.36,US,overcast clouds
179,Igualada,41.581,1.6172,62.49,85,9,3.15,ES,clear sky
180,Clyde River,70.4692,-68.5914,28.08,76,100,10.29,CA,overcast clouds
181,Fremont,37.5483,-121.9886,84.0,31,1,1.01,US,clear sky
182,Zabol,32.25,67.25,53.49,12,0,4.05,AF,clear sky
183,Lagos,6.5833,3.75,73.72,91,25,4.94,NG,scattered clouds
184,Ixtapa,20.7,-105.2,86.23,70,13,4.0,MX,light rain
185,Martapura,-3.4167,114.85,77.09,100,100,1.14,ID,overcast clouds
186,Lere,10.387,8.5726,73.24,62,77,4.25,NG,broken clouds
187,Koryazhma,61.3143,47.1691,44.51,91,100,12.46,RU,light rain
188,Salalah,17.0151,54.0924,78.51,74,9,3.0,OM,clear sky
189,Poum,-20.2333,164.0167,75.31,79,84,8.59,NC,broken clouds
190,Kalmunai,7.4167,81.8167,81.73,64,100,7.47,LK,overcast clouds
191,Hithadhoo,-0.6,73.0833,83.08,70,100,18.92,MV,overcast clouds
192,Ledyard,41.4398,-72.0142,75.07,78,75,3.0,US,broken clouds
193,Bella Vista,36.4295,-94.2316,66.72,36,1,1.99,US,clear sky
194,Camacha,33.0833,-16.3333,71.53,73,20,9.22,PT,few clouds
195,Socorro,31.6546,-106.3033,73.45,21,20,12.66,US,few clouds
196,Bhongir,17.5108,78.8889,75.38,91,100,4.9,IN,light rain
197,Curup,-3.4667,102.5333,68.49,96,100,1.32,ID,overcast clouds
198,Palmares,-8.6833,-35.5917,80.51,71,94,11.16,BR,overcast clouds
199,Kolyvan,55.3053,82.7391,32.05,87,7,4.12,RU,clear sky
200,Marsh Harbour,26.5412,-77.0636,81.19,66,21,6.2,BS,few clouds
201,Fereydun Kenar,36.6864,52.5225,67.68,85,0,8.03,IR,clear sky
202,Ayagoz,47.9714,80.4392,40.6,48,0,6.58,KZ,clear sky
203,San Cristobal,7.7669,-72.225,77.18,42,100,5.32,VE,overcast clouds
204,Sestri Levante,44.2732,9.3968,62.62,63,5,4.0,IT,clear sky
205,Lamar,33.6668,-95.5836,71.89,37,0,9.64,US,clear sky
206,Doume,4.2333,13.45,68.05,99,99,2.39,CM,overcast clouds
207,Asau,46.4333,26.4,50.76,71,100,3.22,RO,light rain
208,Kungurtug,50.5994,97.5228,21.69,75,51,2.73,RU,broken clouds
209,Qujing,25.4833,103.7833,47.98,89,100,6.76,CN,overcast clouds
210,Ingham,42.6,-84.3833,56.17,67,90,13.8,US,overcast clouds
211,Zaysan,47.4667,84.8667,45.05,36,0,3.89,KZ,clear sky
212,Tanda,26.55,82.65,80.8,72,100,6.35,IN,overcast clouds
213,Seoul,37.5683,126.9778,38.64,32,0,11.34,KR,clear sky
214,Moron,-34.6534,-58.6198,72.01,32,0,1.99,AR,clear sky
215,Bethel,41.3712,-73.414,76.42,76,24,1.01,US,few clouds
216,Mehamn,71.0357,27.8492,37.94,97,100,27.0,NO,light rain
217,Mallapuram,11.9667,78.25,73.42,95,100,2.75,IN,light rain
218,Tori Fatehpur,25.45,79.1333,82.54,55,34,5.53,IN,scattered clouds
219,Komsomolskiy,40.4272,71.7189,53.02,28,16,1.34,UZ,few clouds
220,Filadelfia,39.9523,-75.1638,83.17,63,10,8.01,US,clear sky
221,Isangel,-19.55,169.2667,75.22,92,100,4.41,VU,moderate rain
222,Okhotsk,59.3833,143.3,15.82,73,13,9.01,RU,few clouds
223,Kyzyl-Suu,42.3414,78.0056,42.69,43,15,8.25,KG,few clouds
224,Daru,-9.0763,143.2092,78.31,85,100,8.23,PG,overcast clouds
225,High Level,58.5169,-117.136,45.01,39,62,2.15,CA,broken clouds
226,Shelburne,44.0787,-80.2041,53.13,79,100,14.7,CA,overcast clouds
227,Maraa,-1.8333,-65.3667,99.21,30,74,4.76,BR,broken clouds
228,Pangai,-19.8,-174.35,77.47,77,46,13.47,TO,scattered clouds
229,Arlit,18.7369,7.3853,93.09,9,0,15.99,NE,clear sky
230,Honiara,-9.4333,159.95,75.67,83,65,2.62,SB,broken clouds
231,Varzelandia,-15.7014,-44.0275,85.64,42,100,3.33,BR,overcast clouds
232,Calama,-22.4667,-68.9333,70.7,10,26,22.7,CL,scattered clouds
233,Roald,62.5833,6.1333,42.94,65,40,9.22,NO,scattered clouds
234,Peace River,56.2501,-117.286,47.37,54,100,3.11,CA,overcast clouds
235,Goderich,43.7501,-81.7165,56.91,68,9,24.85,CA,clear sky
236,Murgab,37.4966,61.9714,54.48,20,0,6.11,TM,clear sky
237,Pauini,-7.7136,-66.9764,93.0,46,95,3.71,BR,moderate rain
238,Coahuayana,18.7333,-103.6833,88.47,62,63,6.24,MX,broken clouds
239,Mahebourg,-20.4081,57.7,74.25,68,40,18.41,MU,scattered clouds
240,Peniche,39.3558,-9.3811,69.62,91,100,1.34,PT,overcast clouds
241,Albuquerque,35.0845,-106.6511,69.3,19,1,1.01,US,clear sky
242,Auki,-8.7676,160.7034,75.65,88,100,3.49,SB,overcast clouds
243,Omsukchan,62.5333,155.8,2.12,94,100,5.01,RU,overcast clouds
244,Mason City,43.1536,-93.201,62.33,48,0,15.1,US,clear sky
245,Port Moresby,-9.4431,147.1797,74.75,94,34,4.25,PG,scattered clouds
246,Deputatskiy,69.3,139.9,-7.62,100,100,1.81,RU,overcast clouds
247,Ponta Delgada,37.7333,-25.6667,72.32,100,75,9.22,PT,broken clouds
248,Sinnamary,5.3833,-52.95,86.31,64,19,12.44,GF,few clouds
249,Husavik,66.0449,-17.3389,33.71,79,100,5.28,IS,overcast clouds
250,Hovd,48.0056,91.6419,31.59,53,5,0.85,MN,clear sky
251,Portree,57.4129,-6.1942,47.86,93,100,4.12,GB,moderate rain
252,Seybaplaya,19.65,-90.6667,83.28,67,36,7.83,MX,scattered clouds
253,Hambantota,6.1241,81.1185,79.14,100,20,5.75,LK,few clouds
254,Sydney,-33.8679,151.2073,54.39,67,0,1.01,AU,clear sky
255,Chuy,-33.6971,-53.4616,58.64,51,17,11.27,UY,few clouds
256,Hamilton,39.1834,-84.5333,62.65,51,6,1.01,US,clear sky
257,Paamiut,61.994,-49.6678,37.18,82,0,10.67,GL,clear sky
258,Renukut,24.2,83.0333,78.21,83,100,4.63,IN,moderate rain
259,Jiuquan,39.7432,98.5174,40.28,38,0,6.49,CN,clear sky
260,Taft,31.7471,54.2088,64.35,21,0,2.3,IR,clear sky
261,Arraial Do Cabo,-22.9661,-42.0278,74.57,87,41,6.89,BR,scattered clouds
262,Cururupu,-1.8283,-44.8683,86.85,60,74,6.78,BR,broken clouds
263,Shingu,33.7333,135.9833,68.41,79,100,7.11,JP,light rain
264,Rawson,-43.3002,-65.1023,62.96,33,99,5.57,AR,overcast clouds
265,Krasnoselkup,65.7,82.4667,37.08,93,100,16.24,RU,overcast clouds
266,Kindu,-2.95,25.95,69.91,95,69,1.5,CD,broken clouds
267,Hasaki,35.7333,140.8333,70.2,86,14,18.41,JP,few clouds
268,Rognedino,53.8015,33.5576,39.92,95,1,7.38,RU,clear sky
269,Ilulissat,69.2167,-51.1,26.62,33,1,3.44,GL,clear sky
270,Victoria,22.2855,114.1577,75.25,78,12,7.0,HK,few clouds
271,Noyabrsk,63.1994,75.4507,42.6,86,100,17.94,RU,overcast clouds
272,Akdepe,42.0551,59.3788,46.4,34,0,9.26,TM,clear sky
273,Kasaragod,12.5,75.0,76.26,90,100,2.1,IN,heavy intensity rain
274,Nayoro,44.3506,142.4578,39.36,99,100,5.46,JP,overcast clouds
275,Anopino,55.6981,40.6671,46.65,76,100,10.78,RU,light rain
276,Aquin,18.2833,-73.4,84.54,69,97,5.23,HT,overcast clouds
277,Basoko,1.2391,23.616,71.24,88,29,3.42,CD,scattered clouds
278,Morgan City,29.6994,-91.2068,73.4,39,100,15.82,US,overcast clouds
279,Malia,35.2833,25.4667,67.01,67,47,9.15,GR,scattered clouds
280,Egvekinot,66.3167,-179.1667,14.09,85,50,11.7,RU,scattered clouds
281,Santa Cruz De La Palma,28.6835,-17.7642,76.14,73,20,6.91,ES,volcanic ash
282,Rajsamand,25.0667,73.8833,73.27,36,21,2.57,IN,few clouds
283,Kloulklubed,7.0419,134.2556,77.5,73,100,3.15,PW,overcast clouds
284,Pathein,16.7833,94.7333,74.37,98,100,5.01,MM,light rain
285,Turukhansk,65.8167,87.9833,36.21,98,100,14.94,RU,overcast clouds
286,Ginir,7.1333,40.7,62.35,62,83,3.4,ET,broken clouds
287,Atar,20.5169,-13.0499,94.19,13,100,9.8,MR,overcast clouds
288,Bairiki,1.3292,172.9752,81.91,68,94,13.62,KI,overcast clouds
289,Makubetsu,45.3714,141.8211,41.79,61,100,24.87,JP,overcast clouds
290,Jesenik,50.2294,17.2046,44.83,86,23,2.93,CZ,few clouds
291,Cap Malheureux,-19.9842,57.6142,74.46,73,2,10.0,MU,clear sky
292,Saint-Pierre,-21.3393,55.4781,73.04,67,0,6.91,RE,clear sky
293,Pisco,-13.7,-76.2167,67.01,80,76,8.28,PE,broken clouds
294,Rosetown,51.5501,-108.0014,57.97,33,61,8.01,CA,broken clouds
295,Sale,34.0389,-6.8166,70.63,94,100,5.75,MA,overcast clouds
296,Tiarei,-17.5333,-149.3333,82.42,69,15,18.14,PF,few clouds
297,Rio Gallegos,-51.6226,-69.2181,47.21,46,100,39.28,AR,overcast clouds
298,Touros,-5.1989,-35.4608,83.1,65,24,16.84,BR,few clouds
299,Ewa Beach,21.3156,-158.0072,80.02,67,75,10.0,US,broken clouds
300,Saint-Joseph,-21.3667,55.6167,71.96,75,19,15.61,RE,few clouds
301,Lujan,-34.5703,-59.105,73.02,34,0,5.01,AR,clear sky
302,Barao De Melgaco,-16.1944,-55.9675,88.32,61,100,5.44,BR,overcast clouds
303,Kualakapuas,-3.0091,114.3876,77.16,91,73,1.97,ID,broken clouds
304,Edd,13.9297,41.6925,87.64,63,100,6.24,ER,overcast clouds
305,Monrovia,6.3005,-10.7969,82.17,79,100,9.31,LR,overcast clouds
306,Kavaratti,10.5669,72.642,81.34,81,100,19.57,IN,overcast clouds
